spec,estimand,dropped_id,dropped_label,b,se,tau,N,clusters,full_b_tmp,full_b,delta,abs_delta
T3_col5_atta,Overall,4,Baron(2022),.0545165969290783,.0081186928,.024764376,23,10,,.0573329609524499,-.0028163640233716,.0028163640233716
T3_col5_atta,Overall,101,Cascio Gordon Reber(2013) Johnson(2015),.0545769919277418,.0082876366,.022835547,21,10,,.0573329609524499,-.0027559690247081,.0027559690247081
T3_col5_atta,Overall,28,Lee Polachek(2018),.0575289069618072,.010425304,.030673746,24,10,,.0573329609524499,.0001959460093573,.0001959460093573
T3_col5_atta,Overall,37,Weinstein Stiefel Schwartz Chalico(2009),.0569537440548473,.0085667232,.027278187,24,10,,.0573329609524499,-.0003792168976026,.0003792168976026
T3_col5_atta,Overall,2,Abott Kogan Lavertu Peskowitz(2020),.0573017491523402,.0086752772,.027497649,22,10,,.0573329609524499,-.0000312118001097,.0000312118001097
T3_col5_atta,Overall,99,Chaudhary(2009) Hyman(2017) Papke(2008) Roy(2011),.05871422385812,.0096576931,.027601924,22,10,,.0573329609524499,.00138126290567,.00138126290567
T3_col5_atta,Overall,7,Candelaria Shores(2019),.0570106545900282,.00897671,.027092982,22,10,,.0573329609524499,-.0003223063624217,.0003223063624217
T3_col5_atta,Overall,31,Miller(2018),.0567953945320039,.01007821,.029620705,24,10,,.0573329609524499,-.0005375664204461,.0005375664204461
T3_col5_atta,Overall,25,Kreisman Steinberg(2019),.0626090850516001,.0077483123,.020980326,22,10,,.0573329609524499,.0052761240991502,.0052761240991502
T3_col5_atta,Overall,0,full sample,.0573329609524499,.008598919,.026681622,25,11,.0573329609524499,.0573329609524499,,
T3_col5_atta,Overall,20,Jackson Wigger Xiong(2021),.0632466813206433,.010178218,.031477544,24,10,,.0573329609524499,.0059137203681933,.0059137203681933
